"Gene","Global","Intra","CellType"
"PPP1R9B",0.501808877883151,0.972875632703204,"macrophage"
"PPP5C",0.248725968266013,0.131349637937942,"macrophage"
"PPP6R1",0.208230899520061,4772413610744106,"macrophage"
"PPP6R2",0.921951279217448,0.232847160824492,"macrophage"
"PRAM1",0.259675925244761,1.22710847510904,"macrophage"
"PRF1",8301083094221464,NA,"macrophage"
"PRKY",0.135083350999475,0.0342012259918745,"macrophage"
"PRSS57",59183039326387624,2282117264.57101,"macrophage"
"PRTN3",2515115855812524,1063761734.13582,"macrophage"
"PSD4",0.319805331747088,0.105263340936981,"macrophage"
"PSMA6",0.476319965771249,2.30966636249738,"macrophage"
"PSMB8-AS1",0.476902563612934,0.446287113445721,"macrophage"
"PSTPIP1",0.594839873192489,0.939776170330717,"macrophage"
"PTCH2",3857717158053990,377290413032.426,"macrophage"
"PTGDR",7726442058296873,NA,"macrophage"
"PTPN18",1.81789822538313,10.3710579437871,"macrophage"
"PTPN4",0.26685778398783,0.021396456003869,"macrophage"
"PTPN7",0.318771927735952,0.0254428887971162,"macrophage"
"PTPRCAP",15786872544951024,1127165539086.7,"macrophage"
"PYCARD",1.58106707018971,4112364574349354,"macrophage"
"PYHIN1",2094136047973326,NA,"macrophage"
"RAB44",46269614283725624,150750235.927867,"macrophage"
"RABEP2",0.161784840156565,11789921406486.1,"macrophage"
"RALGPS2",0.291912299904085,0.0480756975893943,"macrophage"
"RASSF1",0.58950881661695,0.316634969565205,"macrophage"
"RASSF2",0.692337594081981,0.795754354478281,"macrophage"
"REEP4",0.21625601806083,0.353283723872059,"macrophage"
"RF00003",3475955394224352,889502368.404088,"macrophage"
"RF00003-10",0.296234103754136,83480173086279920,"macrophage"
"RF00003-11",25778114217460348,132833270.037164,"macrophage"
"RF00003-2",4164441985610.75,NA,"macrophage"
"RF00003-7",35709270589762920,156918580.889064,"macrophage"
"RF00003-9",37661048419147624,13546428462.3031,"macrophage"
"RF00012-39",17277905243520776,6065328021102364,"macrophage"
"RF00017-71",0.300459983859273,0.0360051357042184,"macrophage"
"RHBDF2",0.432990868822165,0.325629370129411,"macrophage"
"RIN3",0.955193354642259,13.5823638995707,"macrophage"
"RN7SL2",0.482796661841736,0.0127628511827691,"macrophage"
"RNASE2",0.366505071287384,14.8793387809635,"macrophage"
"RNASE6",0.539124376375152,22413326338651.3,"macrophage"
"RNASEK",0.446272737875054,2.65623372160302,"macrophage"
"RNF220",0.599547633928749,0.615365141958543,"macrophage"
"RNPEP",0.506608413380577,3.3585119351013,"macrophage"
"RNU1-122P",1431251054077639,NA,"macrophage"
"RNU2-63P",15744903603838088,0.0103027899382763,"macrophage"
"RNU4-1",9898037693658970,74243642412.5148,"macrophage"
"RNU4-2",0.286964848441348,0.0133654055876262,"macrophage"
"RNU4ATAC",1039507012256827,810323444.357083,"macrophage"
"RNU5A-1",20743588333992696,NA,"macrophage"
"RNU5B-1",115647009084629552,NA,"macrophage"
"RNU5D-1",5673409774657822,1204124873.0009,"macrophage"
"RNU5E-4P",21008867343893408,3991112103.69468,"macrophage"
"RNU5F-1",5240022953838423,685495389.417015,"macrophage"
"RNVU1-15",4426800037340990,1247229772.27581,"macrophage"
"RNVU1-19",16170487475404012,11885666810.0357,"macrophage"
"RNVU1-4",449783769231.299,4714342326.91164,"macrophage"
"RNVU1-6",5492909074133849,12742583297.6991,"macrophage"
"RPL22P1",0.334550446176235,85668962839338.8,"macrophage"
"RPS6KA4",0.201645542738787,713158713.8027,"macrophage"
"RRP12",0.204796225924488,0.315082401212849,"macrophage"
"RUNX1",1.20028423184044,1.00569896779498,"macrophage"
"S100PBP",0.350666532591618,0.067458719257979,"macrophage"
"S100Z",18248832721851868,24720677341.2213,"macrophage"
"S1PR5",106379817822531264,NA,"macrophage"
"SAMD3",2756660754721085,NA,"macrophage"
"SAP30",0.679459592900534,94786853914.2893,"macrophage"
"SASH3",0.926824392911842,1.22584160783143,"macrophage"
"SCIMP",0.424326025445148,0.432856355446297,"macrophage"
"SDR42E2",0.126991957317056,0.0218421266066178,"macrophage"
"SERPINB8",0.256220077936987,0.500124468151551,"macrophage"
"SH2D1B",34015950192649544,NA,"macrophage"
"SH2D3C",0.228727832814991,0.101989861169441,"macrophage"
"SH3BP1",0.361619425226934,0.476485865420088,"macrophage"
"SH3BP2",0.88601839155951,1.32184822488361,"macrophage"
"SIGLEC7",0.102037414764634,197698439247.368,"macrophage"
"SIGLEC9",0.118811110994968,157738255077.781,"macrophage"
"SIRPB2",0.102566686296488,89145174021.601,"macrophage"
"SLC12A9",0.371720551064541,0.26644515322745,"macrophage"
"SLC17A9",0.0634354545987502,12331225459644.2,"macrophage"
"SLC36A4",0.569206124131492,0.245695966750838,"macrophage"
"SLC39A10",0.66068790696289,0.366985025620382,"macrophage"
"SLFN13",0.0798259297245819,NA,"macrophage"
"SNORD3A",0.893625103439998,2.62819745707902,"macrophage"
"SNORD3B-1",0.195256768342086,356512508407365,"macrophage"
"SNORD3B-2",2481168729205446,3163782263899902,"macrophage"
"SNTB1",0.20480027362845,355768533.922155,"macrophage"
"SPECC1",0.339185302638795,0.179075026315313,"macrophage"
"SPI1",1.07326967624243,133602063597.014,"macrophage"
